Time,Mean_N,Mean_C,Mean_A,Mean_X
0.0,0.9975,0.0025,0.0,0.0
1.0,0.9559875,0.0276375,0.012575,0.0038
2.0,0.768,0.11875,0.0769625,0.0362875
3.0,0.556,0.1474375,0.1672625,0.1293
4.0,0.4599,0.1058625,0.176825,0.2574125
5.0,0.4339375,0.06415,0.1405625,0.36135
6.0,0.4339125,0.04015,0.09975,0.4261875
7.0,0.4448125,0.0292625,0.068225,0.4577
8.0,0.4626,0.0225375,0.0493,0.4655625
9.0,0.48675,0.020775,0.037775,0.4547
10.0,0.51495,0.0205,0.0342875,0.4302625
11.0,0.5465,0.0217375,0.0334875,0.398275
12.0,0.5796125,0.0248,0.03445,0.3611375
13.0,0.60365,0.0305875,0.0394125,0.32635
14.0,0.6221875,0.0369,0.0471875,0.293725
15.0,0.62715,0.041575,0.054475,0.2768
16.0,0.6237375,0.0443375,0.0628625,0.2690625
17.0,0.61925,0.04255,0.0648625,0.2733375
18.0,0.6175875,0.039525,0.0628625,0.280025
19.0,0.616125,0.036625,0.0605125,0.2867375
20.0,0.6177875,0.0329125,0.054775,0.294525
21.0,0.6247875,0.02935,0.050275,0.2955875
22.0,0.63355,0.029925,0.0443875,0.2921375
23.0,0.6399875,0.03075,0.0447125,0.28455
24.0,0.646525,0.0301875,0.0445125,0.278775
25.0,0.6526625,0.0296125,0.045425,0.2723
26.0,0.657925,0.029475,0.0446125,0.2679875
27.0,0.6609625,0.03015,0.0448875,0.264
28.0,0.6625875,0.031325,0.04655,0.2595375
29.0,0.6637875,0.0310625,0.047275,0.257875
30.0,0.6656375,0.030375,0.0457875,0.2582
31.0,0.6694875,0.0288375,0.045925,0.25575
32.0,0.6729875,0.0289,0.0443875,0.253725
33.0,0.67625,0.0297875,0.0444125,0.24955
34.0,0.6772875,0.03085,0.0448125,0.24705
35.0,0.679825,0.0298625,0.04525,0.2450625
36.0,0.6838625,0.0280625,0.0442125,0.2438625
37.0,0.6877375,0.02745,0.0433,0.2415125
38.0,0.6899,0.0291375,0.0420625,0.2389
39.0,0.690925,0.030475,0.04415,0.23445
40.0,0.6886375,0.031675,0.0465125,0.233175
41.0,0.6865,0.0313375,0.0470875,0.235075
42.0,0.68325,0.0317125,0.0469125,0.238125
43.0,0.6828,0.03045,0.0469625,0.2397875
44.0,0.6850625,0.0284625,0.0444,0.242075
45.0,0.687,0.0280375,0.043475,0.2414875
46.0,0.687625,0.02805,0.042575,0.24175
47.0,0.68905,0.02855,0.0417625,0.2406375
48.0,0.69325,0.0256,0.041475,0.239675
49.0,0.69855,0.0256875,0.0391875,0.236575
50.0,0.7026375,0.027,0.0387625,0.2316
51.0,0.702275,0.0283,0.0410875,0.2283375
52.0,0.7023875,0.0301375,0.0421875,0.2252875
53.0,0.7025375,0.02985,0.0447125,0.2229
54.0,0.701625,0.0303,0.0450125,0.2230625
55.0,0.69895,0.0304,0.045725,0.224925
56.0,0.6974,0.029625,0.04435,0.228625
57.0,0.6971,0.0286625,0.0439375,0.2303
58.0,0.6988125,0.026775,0.041325,0.2330875
59.0,0.7010875,0.026675,0.0393375,0.2329
60.0,0.7054,0.0243375,0.0373,0.2329625
61.0,0.7108375,0.024375,0.0361875,0.2286
62.0,0.713925,0.0253875,0.03835,0.2223375
63.0,0.718375,0.0241,0.037025,0.2205
64.0,0.721625,0.0246125,0.0370875,0.216675
65.0,0.7234875,0.024425,0.0371625,0.214925
66.0,0.724825,0.02655,0.0371875,0.2114375
67.0,0.7274875,0.025525,0.038575,0.2084125
68.0,0.7317,0.0231,0.037,0.2082
69.0,0.73695,0.0232,0.03605,0.2038
70.0,0.7401875,0.0235625,0.0345375,0.2017125
71.0,0.7423875,0.0233875,0.03515,0.199075
72.0,0.7453,0.022425,0.0348625,0.1974125
73.0,0.7496875,0.0216,0.0344375,0.194275
74.0,0.7548875,0.0201875,0.0324,0.192525
75.0,0.7596625,0.0200125,0.031425,0.1889
76.0,0.763375,0.0206625,0.0307625,0.1852
77.0,0.769525,0.0201625,0.030575,0.1797375
78.0,0.773675,0.0209875,0.030125,0.1752125
79.0,0.777125,0.0214125,0.030975,0.1704875
80.0,0.7775,0.02265,0.0315875,0.1682625
81.0,0.7753375,0.0227375,0.0328375,0.1690875
82.0,0.77595,0.0210625,0.0325625,0.170425
83.0,0.7796125,0.0196125,0.03115,0.169625
84.0,0.7837875,0.016925,0.0282625,0.171025
85.0,0.7883,0.0178375,0.026175,0.1676875
86.0,0.792025,0.0175125,0.026875,0.1635875
87.0,0.7956375,0.0176,0.026475,0.1602875
88.0,0.8002,0.0165375,0.0260375,0.157225
89.0,0.8029,0.01725,0.025925,0.153925
90.0,0.8034,0.018675,0.02705,0.150875
91.0,0.801975,0.020125,0.0286625,0.1492375
92.0,0.8015875,0.0198375,0.029925,0.14865
93.0,0.8027375,0.018875,0.028575,0.1498125
94.0,0.8029625,0.0200875,0.0283375,0.1486125
95.0,0.801275,0.020425,0.029375,0.148925
96.0,0.7990125,0.0203,0.02955,0.1511375
97.0,0.7999625,0.01815,0.029625,0.1522625
98.0,0.802225,0.01745,0.0268875,0.1534375
99.0,0.803775,0.0174,0.026975,0.15185
100.0,0.8047375,0.0178875,0.026275,0.1511
101.0,0.8042625,0.0179375,0.0265875,0.1512125
102.0,0.804025,0.0191625,0.0281625,0.14865
103.0,0.8040625,0.0183125,0.0284625,0.1491625
104.0,0.8053125,0.0169375,0.028725,0.149025
105.0,0.8080375,0.01595,0.0261,0.1499125
106.0,0.8088875,0.0172125,0.02665,0.14725
107.0,0.809325,0.01765,0.0267125,0.1463125
108.0,0.8089625,0.0172,0.0268625,0.146975
109.0,0.8120375,0.015875,0.0251,0.1469875
110.0,0.81695,0.0147625,0.0235,0.1447875
111.0,0.822725,0.0138875,0.02175,0.1416375
112.0,0.828575,0.013575,0.020575,0.137275
113.0,0.83185,0.0154,0.0202875,0.1324625
114.0,0.8341625,0.015725,0.0220875,0.128025
115.0,0.835,0.0160375,0.023325,0.1256375
